iteration,Energy
0,-5.531791247441064e-11
1,-5.578913271010998e-11
2,-5.6207798683919135e-11
3,-5.599837012139189e-11
4,-5.536669271159626e-11
5,-5.600583761715204e-11
6,-7.368287366711362e-11
7,-8.380102729698699e-11
8,-8.360231237813389e-11
9,-9.70565928434174e-11
10,-1.0403861959241106e-10
11,-1.1356695157033257e-10
12,-1.0594338976144481e-10
13,-1.174803580258905e-10
14,-1.1734488553834202e-10
15,-1.142119595111756e-10
16,-1.1481384427428557e-10
17,-1.0494206414052196e-10
18,-1.0517803651525483e-10
19,-1.1329189656941141e-10
20,-1.0831562963500806e-10
21,-1.1080841105205651e-10
22,-1.0511107367753245e-10
23,-1.0849484957454856e-10
24,-1.0664317716081647e-10
25,-1.064583111724721e-10
26,-1.0041042647054762e-10
27,-9.93964689800783e-11
28,-1.0001691686808823e-10
29,-9.887498962871736e-11
30,-9.596013546572483e-11
31,-9.239311704659494e-11
32,-9.201338810584732e-11
33,-9.129037771609554e-11
34,-9.135069780701055e-11
35,-9.713281040913551e-11
36,-9.706265195416708e-11
37,-9.678020308799078e-11
38,-1.0055219833892354e-10
39,-1.0235304365367587e-10
40,-1.0207593540927242e-10
41,-9.981210487140005e-11
42,-1.0158160438885387e-10
43,-1.0226632682444602e-10
44,-1.0173535187663573e-10
45,-9.852741752132259e-11
46,-9.556865989320885e-11
47,-8.63695950222787e-11
48,-8.135627617509527e-11
49,-9.81725294387467e-11
50,-9.507766708197842e-11
51,-9.804187891030542e-11
52,-9.848220039553846e-11
53,-9.839305477211541e-11
54,-9.873607764779143e-11
55,-1.0193946558703552e-10
56,-1.0714369143423822e-10
57,-1.0719025527867472e-10
58,-1.0275880301271692e-10
59,-9.648228680989719e-11
60,-9.59294880084221e-11
61,-9.58920872424004e-11
62,-8.982765330033806e-11
63,-8.943060301504409e-11
64,-9.03080654817901e-11
65,-9.19138672080031e-11
66,-9.903138444349745e-11
67,-1.0935873182232645e-10
68,-1.0941188042666397e-10
69,-1.0237272728430167e-10
70,-1.0070957848414714e-10
71,-9.970941075557005e-11
72,-9.79859822815105e-11
73,-1.1381256711329798e-10
74,-1.15612175680005e-10
75,-1.1382428779627908e-10
76,-1.2176800757081974e-10
77,-1.2187214272756888e-10
78,-1.2200398247370256e-10
79,-1.1570967872850433e-10
80,-1.1489956548704604e-10
81,-1.1756270780760099e-10
82,-1.1737026045508603e-10
83,-1.2778559202637747e-10
84,-1.2364478188136824e-10
85,-1.1603252137924946e-10
86,-1.2040457538175867e-10
87,-1.2089934646087044e-10
88,-1.1339730449282265e-10
89,-1.1415238984582012e-10
90,-1.1397777011500392e-10
91,-1.2180789555330168e-10
92,-1.1877096984468283e-10
93,-1.1705514978159018e-10
94,-1.1907925736654647e-10
95,-1.192180719571134e-10
96,-1.144773527967752e-10
97,-1.0837101522657636e-10
98,-1.0714161866056486e-10
99,-1.0804909978161943e-10
